fandjon,minute (Chi)
cyawca,hour (Chi)
myawdjon,second (Chi)
man,slow (Chi)
yeci,maybe (Chi)
gondzwo,work (Chi)
incin,function (Chi)
gwedza,rule (Chi)
canti,body (Chi)
inwan,english (Chi)
lidza,example (Chi)
tada,his (Chi)
tada,her (Chi)
tamada,their (Chi)
womanda,our (Chi)
nida,your (Chi)
nimanda,yours (Chi)
woda,my (Chi)
yodyen,kinda (Chi)
djonwan,chinese (Chi)
cibanya,spanish (Chi)
indu,hindi (Chi)
alabo,arabic (Chi)
a,russian (Chi)
hwecow,recycle (Chi)
yidjin,already (Chi)
djow,week (Chi)
rwo,weak (Chi)
fandjyen,room (Chi)
djonyaw,important (Chi)
hadza,box (Chi)
nan,difficult (Chi)
cyan,as (Chi)
tyen,sunday (Chi)
yi,monday (Chi)
ar,tuesday (Chi)
san,wednesday (Chi)
ca,thursday (Chi)
wu,friday (Chi)
lyo,saturday (Chi)
hwe,will (Chi)
way,outside (Chi)
na,take (Chi)
sa,colour (Chi)
kayca,start (Chi)
tin,stop (Chi)
kay,open (Chi)
gwan,close (Chi)
incyon,hero (Chi)
baw,bun (Chi)
cyedza,shoe (Chi)
fontcaw,hive (Chi)
tyengwo,heaven (Chi)
manko,gate (Chi)
falyan,shine (Chi)
tcawcwe,den (Chi)
weyraw,around (Chi)
antcwen,safe (Chi)
dzonca,always (Chi)
ranha,any (Chi)
djadjyen,between (Chi)
daylay,bring (Chi)
mey,each (Chi)
bi,arm (Chi)
gow,enough (Chi)
tcyen,front (Chi)
cowdja,finger (Chi)
djyawdja,toe (Chi)
wandza,ankle (Chi)
wandza,wrist (Chi)
a,hungry (Chi)
ka,thirsty (Chi)
tcon,bug (Chi)
tsonwe,never (Chi)
djyen,shoulder (Chi)
djidza,sentence (Chi)
dzadji,self (Chi)
djincu,metal (Chi)
sulyaw,plastic (Chi)
djyatin,family (Chi)
diran,enemy (Chi)
djan,true (Chi)
djya,false (Chi)
ton,hurt (Chi)
kaywancyaw,fun (Chi)
cyaw,funny (Chi)
tcigway,weird (Chi)
kapa,scary (Chi)
cantci,angry (Chi)
gawcin,happy (Chi)
can,sad (Chi)
tcanca,city (Chi)
djyendju,building (Chi)
pinmu,screen (Chi)
han,very (Chi)
bukatci,yourewelcome (Chi)
ta,it (Chi)
tcansa,orange (Chi)
dzasa,purple (Chi)
dzonsa,brown (Chi)
hweysa,gray (Chi)
fanhonsa,pink (Chi)
wela,for (Chi)
buyaw,dont (Chi)
gwanyu,about (Chi)
ca,yeah (Chi)
djanda,actually (Chi)
tcintcye,nice (Chi)
kabwo,mean (Chi)
yi,meaning (Chi)
gwancin,care (Chi)
cinci,information (Chi)
cyancin,believe (Chi)
fan,put (Chi)
djanca,show (Chi)
tsan,hide (Chi)
cadjye,world (Chi)
tsay,guess (Chi)
tswo,wrong (Chi)
ley,type (Chi)
naw,brain (Chi)
djyaw,teach (Chi)
meycanma,nothing (Chi)
moca,something (Chi)
yoran,someone (Chi)
tcyan,wall (Chi)
tyenhwaban,ceiling (Chi)
tcan,become (Chi)
cin,shape (Chi)
gwey,expensive (Chi)
pyenyi,cheap (Chi)
mey,beautiful (Chi)
tcow,ugly (Chi)
djyendaw,scissors (Chi)
tsandjin,napkin (Chi)
daw,knife (Chi)
twopan,tray (Chi)
tsaydan,menu (Chi)
pingwo,apple (Chi)
beygwo,bagel (Chi)
cyandjyaw,banana (Chi)
dow,bean (Chi)
nyorow,beef (Chi)
pidjyow,beer (Chi)
myenbaw,bread (Chi)
hwanyow,butter (Chi)
dangaw,cake (Chi)
tcyawkali,chocolate (Chi)
law,cheese (Chi)
kafey,coffee (Chi)
umi,corn (Chi)
tyentyentcwen,donut (Chi)
ragow,hotdog (Chi)
bintcilin,icecream (Chi)
dja,juice (Chi)
fantcyedjyan,ketchup (Chi)
yan,lamb (Chi)
djyengwo,nut (Chi)
bisa,pizza (Chi)
djurow,pork (Chi)
malincu,potato (Chi)
mi,rice (Chi)
djyan,sauce (Chi)
cya,shrimp (Chi)
tan,soup (Chi)
cyanlyaw,spice (Chi)
putawdjyow,wine (Chi)
swanay,yogurt (Chi)
fanfa,way (Chi)
djuyi,idea (Chi)
guca,story (Chi)
ganywen,source (Chi)
tabye,special (Chi)
dyen,dot (Chi)
hay,still (Chi)
ca,am (Chi)
ca,is (Chi)
ca,are (Chi)
dzwo,does (Chi)
dzamyen,literal (Chi)
biyu,figurative (Chi)
lasa,garbage (Chi)
baw,bag (Chi)
wandjyen,file (Chi)
mulu,folder (Chi)
cyen,wire (Chi)
yinpin,audio (Chi)
capin,video (Chi)
cinci,message (Chi)
hwe,return (Chi)
tcacin,query (Chi)
cudjiku,database (Chi)
byencu,variable (Chi)
tcanlyan,constant (Chi)
lye,column (Chi)
cin,row (Chi)
anyo,button (Chi)
cayi,eleven (Chi)
car,twelve (Chi)
casan,thirteen (Chi)
casa,fourteen (Chi)
cawu,fifteen (Chi)
calyow,sixteen (Chi)
catci,seventeen (Chi)
caba,eighteen (Chi)
cadjyow,nineteen (Chi)
arca,twenty (Chi)
di,th (Chi)
yindaw,lead (Chi)
swe,follow (Chi)
djuyi,attention (Chi)
lyenci,practice (Chi)
dzanyan,praise (Chi)
daw,pray (Chi)
bay,worship (Chi)
lyendjye,connect (Chi)
cyoli,repair (Chi)
bin,sick (Chi)
sanca,thirty (Chi)
saca,forty (Chi)
wuca,fifty (Chi)
lyowca,sixty (Chi)
tcica,seventy (Chi)
baca,eighty (Chi)
djyowca,ninety (Chi)
yiye,january (Chi)
arye,february (Chi)
sanye,march (Chi)
saye,april (Chi)
wuye,may (Chi)
lyowye,june (Chi)
tciye,july (Chi)
baye,august (Chi)
djyowye,september (Chi)
caye,october (Chi)
caiye,november (Chi)
carye,december (Chi)
gaycan,improve (Chi)
mubyaw,goal (Chi)
na,which (Chi)
meyran,noone (Chi)
la,was (Chi)
sweran,though (Chi)
ran,let (Chi)
tcyenbey,humble (Chi)
aw,arrogant (Chi)
djon,middle (Chi)
gontca,metre (Chi)
dzaw,early (Chi)
wan,late (Chi)
tconfu,repeat (Chi)
dandza,list (Chi)
cadjyenbyaw,schedule (Chi)
can,up (Chi)
cya,down (Chi)
gaw,high (Chi)
di,low (Chi)
yawca,key (Chi)
swo,lock (Chi)
hunha,mix (Chi)
tcun,pure (Chi)
yin,hard (Chi)
rwan,soft (Chi)
tsaylyaw,material (Chi)
panson,fluffy (Chi)
dudjyawcow,unicorn (Chi)
moca,pattern (Chi)
