dopehr,afternoon (Hin)
cam,evening (Hin)
adhirat,midnight (Hin)
hilana,shake (Hin)
rekha,line (Hin)
qamiz,shirt (Hin)
ticart,tshirt (Hin)
pent,pants (Hin)
topi,hat (Hin)
dastana,glove (Hin)
djeket,jacket (Hin)
hembargar,hamburger (Hin)
akcar,letter (Hin)
lagbhag,almost (Hin)
tcun,choose (Hin)
pricth,page (Hin)
deta,data (Hin)
taza,refresh (Hin)
adyatan,update (Hin)
tcek,check (Hin)
sakriy,activate (Hin)
radjasee,royal (Hin)
yantramanav,robot (Hin)
pa,find (Hin)
bidjli,electricity (Hin)
pensil,pencil (Hin)
lekhni,pen (Hin)
sabun,soap (Hin)
cempu,shampoo (Hin)
toliya,towel (Hin)
pighal,melt (Hin)
partchai,shadow (Hin)
dec,country (Hin)
narikel,coconut (Hin)
duriyan,durian (Hin)
bengan,eggplant (Hin)
andjir,fig (Hin)
angur,grape (Hin)
hanidar,honeydew (Hin)
kivi,kiwi (Hin)
nimbu,lemon (Hin)
am,mango (Hin)
cafatalu,nectarine (Hin)
santra,oranges (Hin)
ananas,pineapple (Hin)
rasabhri,raspberry (Hin)
stroberi,strawberry (Hin)
tamatar,tomato (Hin)
yugli,ugli (Hin)
vanila,vanilla (Hin)
tarbuz,watermelon (Hin)
ratalu,yam (Hin)
turai,zucchini (Hin)
erdvark,aardvark (Hin)
langur,baboon (Hin)
girgit,chameleon (Hin)
suns,dolphin (Hin)
hathi,elephant (Hin)
lomri,fox (Hin)
djiraf,giraffe (Hin)
tciriyo,hummingbird (Hin)
godha,iguana (Hin)
gidjgidjiya,jellyfish (Hin)
kangaru,kangaroo (Hin)
djhigamatchli,lobster (Hin)
manati,manatee (Hin)
naul,narwhal (Hin)
actabahu,octopus (Hin)
penguin,penguin (Hin)
bater,quail (Hin)
hargoc,rabbit (Hin)
starfic,starfish (Hin)
dimak,termite (Hin)
gidh,vulture (Hin)
valras,walrus (Hin)
gilehri,xerus (Hin)
yak,yak (Hin)
zebra,zebra (Hin)
tcatur,smart (Hin)
ghari,watch (Hin)
